class	property	type	description
Event	eventStatus	EventStatusType	An eventStatus of an event represents its status; particularly useful when an event is cancelled or rescheduled.
PlayAction	event	Event	Upcoming or past event associated with this place, organization, or action.
Place	event	Event	Upcoming or past event associated with this place, organization, or action.
Organization	event	Event	Upcoming or past event associated with this place, organization, or action.
LeaveAction	event	Event	Upcoming or past event associated with this place, organization, or action.
JoinAction	event	Event	Upcoming or past event associated with this place, organization, or action.
InviteAction	event	Event	Upcoming or past event associated with this place, organization, or action.
InformAction	event	Event	Upcoming or past event associated with this place, organization, or action.
Flight	estimatedFlightDuration	Text	The estimated time the flight will take.
Flight	estimatedFlightDuration	Duration	The estimated time the flight will take.
HowToSupply	estimatedCost	Text	The estimated cost of the supply or supplies consumed when performing instructions.
HowToSupply	estimatedCost	MonetaryAmount	The estimated cost of the supply or supplies consumed when performing instructions.
HowTo	estimatedCost	Text	The estimated cost of the supply or supplies consumed when performing instructions.
HowTo	estimatedCost	MonetaryAmount	The estimated cost of the supply or supplies consumed when performing instructions.
Action	error	Thing	For failed actions, more information on the cause of the failure.
QualitativeValue	equal	QualitativeValue	This ordering relation for qualitative values indicates that the subject is equal to the object.
VideoGameSeries	episodes	Episode	An episode of a TV/radio series or season.
TVSeries	episodes	Episode	An episode of a TV/radio series or season.
RadioSeries	episodes	Episode	An episode of a TV/radio series or season.
CreativeWorkSeason	episodes	Episode	An episode of a TV/radio series or season.
Episode	episodeNumber	Text	Position of the episode within an ordered group of episodes.
Episode	episodeNumber	Integer	Position of the episode within an ordered group of episodes.
VideoGameSeries	episode	Episode	An episode of a tv, radio or game media within a series or season.
TVSeries	episode	Episode	An episode of a tv, radio or game media within a series or season.
RadioSeries	episode	Episode	An episode of a tv, radio or game media within a series or season.
CreativeWorkSeason	episode	Episode	An episode of a tv, radio or game media within a series or season.
PerformAction	entertainmentBusiness	EntertainmentBusiness	A sub property of location. The entertainment business where the action occurred.
EndorseAction	endorsee	Person	A sub property of participant. The person/organization being supported.
EndorseAction	endorsee	Organization	A sub property of participant. The person/organization being supported.
FoodEstablishmentReservation	endTime	DateTime	The endTime of something. For a reserved event or service (e.g. FoodEstablishmentReservation), the time that it is expected to end. For actions that span a period of time, when the action was performed. e.g. John wrote a book from January to *December*.\n\nNote that Event uses startDate/endDate instead of startTime/endTime, even when describing dates with times. This situation may be clarified in future revisions.
Action	endTime	DateTime	The endTime of something. For a reserved event or service (e.g. FoodEstablishmentReservation), the time that it is expected to end. For actions that span a period of time, when the action was performed. e.g. John wrote a book from January to *December*.\n\nNote that Event uses startDate/endDate instead of startTime/endTime, even when describing dates with times. This situation may be clarified in future revisions.
Role	endDate	DateTime	The end date and time of the item (in [ISO 8601 date format](http://en.wikipedia.org/wiki/ISO_8601)).
Role	endDate	Date	The end date and time of the item (in [ISO 8601 date format](http://en.wikipedia.org/wiki/ISO_8601)).
Event	endDate	DateTime	The end date and time of the item (in [ISO 8601 date format](http://en.wikipedia.org/wiki/ISO_8601)).
Event	endDate	Date	The end date and time of the item (in [ISO 8601 date format](http://en.wikipedia.org/wiki/ISO_8601)).
DatedMoneySpecification	endDate	DateTime	The end date and time of the item (in [ISO 8601 date format](http://en.wikipedia.org/wiki/ISO_8601)).
DatedMoneySpecification	endDate	Date	The end date and time of the item (in [ISO 8601 date format](http://en.wikipedia.org/wiki/ISO_8601)).
CreativeWorkSeries	endDate	DateTime	The end date and time of the item (in [ISO 8601 date format](http://en.wikipedia.org/wiki/ISO_8601)).
CreativeWorkSeries	endDate	Date	The end date and time of the item (in [ISO 8601 date format](http://en.wikipedia.org/wiki/ISO_8601)).
CreativeWorkSeason	endDate	DateTime	The end date and time of the item (in [ISO 8601 date format](http://en.wikipedia.org/wiki/ISO_8601)).
CreativeWorkSeason	endDate	Date	The end date and time of the item (in [ISO 8601 date format](http://en.wikipedia.org/wiki/ISO_8601)).
CreativeWork	encodings	MediaObject	A media object that encodes this CreativeWork.
EntryPoint	encodingType	Text	The supported encoding type(s) for an EntryPoint request.
MediaObject	encodingFormat	URL	"Media type typically expressed using a MIME format (see [IANA site](http://www.iana.org/assignments/media-types/media-types.xhtml) and [MDN reference](https://developer.mozilla.org/en-US/docs/Web/HTTP/Basics_of_HTTP/MIME_types)) e.g. application/zip for a SoftwareApplication binary, audio/mpeg for .mp3 etc.).

In cases where a [[CreativeWork]] has several media type representations, [[encoding]] can be used to indicate each [[MediaObject]] alongside particular [[encodingFormat]] information.

Unregistered or niche encoding and file formats can be indicated instead via the most appropriate URL, e.g. defining Web page or a Wikipedia/Wikidata entry."
MediaObject	encodingFormat	Text	"Media type typically expressed using a MIME format (see [IANA site](http://www.iana.org/assignments/media-types/media-types.xhtml) and [MDN reference](https://developer.mozilla.org/en-US/docs/Web/HTTP/Basics_of_HTTP/MIME_types)) e.g. application/zip for a SoftwareApplication binary, audio/mpeg for .mp3 etc.).

In cases where a [[CreativeWork]] has several media type representations, [[encoding]] can be used to indicate each [[MediaObject]] alongside particular [[encodingFormat]] information.

Unregistered or niche encoding and file formats can be indicated instead via the most appropriate URL, e.g. defining Web page or a Wikipedia/Wikidata entry."
CreativeWork	encodingFormat	URL	"Media type typically expressed using a MIME format (see [IANA site](http://www.iana.org/assignments/media-types/media-types.xhtml) and [MDN reference](https://developer.mozilla.org/en-US/docs/Web/HTTP/Basics_of_HTTP/MIME_types)) e.g. application/zip for a SoftwareApplication binary, audio/mpeg for .mp3 etc.).

In cases where a [[CreativeWork]] has several media type representations, [[encoding]] can be used to indicate each [[MediaObject]] alongside particular [[encodingFormat]] information.

Unregistered or niche encoding and file formats can be indicated instead via the most appropriate URL, e.g. defining Web page or a Wikipedia/Wikidata entry."
CreativeWork	encodingFormat	Text	"Media type typically expressed using a MIME format (see [IANA site](http://www.iana.org/assignments/media-types/media-types.xhtml) and [MDN reference](https://developer.mozilla.org/en-US/docs/Web/HTTP/Basics_of_HTTP/MIME_types)) e.g. application/zip for a SoftwareApplication binary, audio/mpeg for .mp3 etc.).

In cases where a [[CreativeWork]] has several media type representations, [[encoding]] can be used to indicate each [[MediaObject]] alongside particular [[encodingFormat]] information.

Unregistered or niche encoding and file formats can be indicated instead via the most appropriate URL, e.g. defining Web page or a Wikipedia/Wikidata entry."
CreativeWork	encoding	MediaObject	A media object that encodes this CreativeWork. This property is a synonym for associatedMedia.
MediaObject	encodesCreativeWork	CreativeWork	The CreativeWork encoded by this media object.
JobPosting	employmentType	Text	Type of employment (e.g. full-time, part-time, contract, temporary, seasonal, internship).
